,populacao,obitos,casos,obitos_relativo,casos_relativo
Candói,15932,19,834,119.25684157670098,5234.747677629927
Santa Cruz de Monte Castelo,8149,7,348,85.90011044299914,4270.462633451957
Araucária,151761,293,19175,193.06672992402528,12634.998451512576
Cornélio Procópio,46903,99,4300,211.0739185126751,9167.857066712151
Iporã,15030,5,784,33.266799733865604,5216.234198270126
Ivaiporã,33052,56,2234,169.42998910807214,6759.046351204163
Pinhais,132575,335,12102,252.68715821233263,9128.41787667358
São José das Palmeiras,3909,10,259,255.81990278843693,6625.735482220517
Inajá,3040,5,148,164.47368421052633,4868.421052631579
Andirá,19941,52,1456,260.76926934456645,7301.539541647861
Pitanga,32068,17,1582,53.01234875888736,4933.26680803293
Braganey,5834,7,296,119.98628728145354,5073.705862187178
Nova Santa Rosa,8189,4,442,48.84601294419343,5397.484430333374
Pranchita,5728,5,371,87.29050279329608,6476.9553072625695
São José dos Pinhais,334379,563,19086,168.37181760816318,5707.894335469632
Alto Piquiri,10219,12,472,117.42831979645757,4618.847245327332
Porto Amazonas,4805,8,344,166.49323621227887,7159.209157127992
Virmond,3981,3,194,75.35795026375283,4873.14745038935
Lobato,4793,8,389,166.9100771959107,8116.002503651158
Centenário do Sul,11542,22,726,190.6082134811991,6290.07104487957
Itapejara d'Oeste,12027,31,1436,257.75338820986116,11939.802111914858
Itaperuçu,29923,88,3137,294.0881596096648,10483.574507903619
Matelândia,18043,31,1892,171.8117829629219,10486.061076317685
Guaraniaçu,14786,11,891,74.39469768700121,6025.970512647099
Palmeira,33761,49,2105,145.1378809869376,6235.004887295992
Doutor Ulysses,5880,3,217,51.02040816326531,3690.4761904761904
Bituruna,16285,8,540,49.12496162112373,3315.934909425852
Londrina,577573,1142,50123,197.72392407539826,8678.210373407344
Cruzeiro do Iguaçu,4318,7,266,162.11208893006022,6160.259379342288
Bocaiúva do Sul,13609,9,1013,66.13270629730326,7443.603497685355
Japurá,9414,7,461,74.35734013171871,4896.961971531761
Lapa,48272,55,2888,113.93768644348691,5982.764335432549
Telêmaco Borba,80408,178,11083,221.37100785991444,13783.454382648493
Foz do Jordão,5245,11,474,209.72354623450906,9037.1782650143
Paiçandu,42317,76,3270,179.5968523288513,7727.3908830966275
Mandaguari,37138,85,3264,228.87608379557327,8788.841617750013
Quarto Centenário,4476,1,161,22.341376228775694,3596.9615728328863
Ampére,19213,28,940,145.73465882475406,4892.520689116744
Figueira,8275,22,643,265.8610271903323,7770.392749244713
Grandes Rios,6772,10,350,147.66686355581808,5168.340224453633
Ariranha do Ivaí,2504,2,129,79.87220447284345,5151.757188498403
Rolândia,68198,170,5909,249.2741722631162,8664.476964133846
Marmeleiro,14141,33,1514,233.36397708790042,10706.456403366099
Conselheiro Mairinck,3834,8,376,208.65936358894106,9806.99008868023
Salto do Lontra,14672,21,1088,143.12977099236642,7415.485278080698
São Jorge do Patrocínio,5981,4,634,66.87844841999666,10600.23407456947
Rio Branco do Ivaí,3930,7,231,178.11704834605598,5877.862595419847
Tibagi,20594,54,1878,262.2122948431582,9119.160920656503
Quedas do Iguaçu,34617,54,2407,155.9927203397175,6953.231071438889
Borrazópolis,8115,15,483,184.84288354898337,5951.940850277264
Campo Mourão,94236,155,7673,164.48066556305446,8142.323528163334
Missal,10832,12,971,110.78286558345643,8964.180206794683
Reserva do Iguaçu,7949,5,431,62.90099383570261,5422.065668637564
Toledo,140837,262,18404,186.0306595567926,13067.588772836683
Santa Cecília do Pavão,3466,8,338,230.8136180034622,9751.875360646278
Castro,71299,128,7330,179.5256595464172,10280.649097462798
Cafezal do Sul,4331,3,220,69.26806742091895,5079.658277534057
Florestópolis,11590,20,819,172.5625539257981,7066.436583261432
Guaporema,2417,4,154,165.49441456350849,6371.534960695077
Campina da Lagoa,14176,19,870,134.02934537246048,6137.1331828442435
Nossa Senhora das Graças,3995,6,370,150.18773466833542,9261.576971214017
Imbaú,13324,26,1222,195.13659561693186,9171.419993995796
Cambé,106357,172,8781,161.71949189992196,8256.156153332644
Jussara,7190,3,478,41.72461752433936,6648.122392211405
Luiziana,7228,6,337,83.01051466519093,4662.423907028224
Santa Mariana,11933,28,777,234.6434257940166,6511.3550657839605
Jandaia do Sul,21259,51,2109,239.89839597347006,9920.504257020557
Nova Laranjeiras,10932,4,556,36.58982802780827,5085.98609586535
Morretes,16522,38,1599,229.99636847839244,9678.00508413025
Guamiranga,8912,7,371,78.54578096947935,4162.926391382406
