regiao,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
Bairro Novo,3.86,4.08,4.65,4.61,4.63,4.63,4.32,4.08,3.73,3.0,2.36,1.87,1.21,0.73,0.48,0.29,0.22
Boa Vista,2.95,3.1,3.67,3.82,4.34,4.46,4.21,3.7,3.55,3.37,2.93,2.29,1.81,1.23,0.91,0.61,0.52
Boqueirão,3.21,3.49,3.95,4.17,4.38,4.46,4.27,3.86,3.66,3.29,2.74,2.16,1.63,1.1,0.78,0.47,0.42
Cajuru,3.32,3.40,4.03,4.19,4.55,4.38,4.10,3.77,3.56,3.24,2.69,2.22,1.67,1.15,0.81,0.53,0.46
CIC,3.59,3.99,4.54,4.51,4.7,4.83,4.44,3.93,3.58,2.95,2.46,1.93,1.26,0.79,0.52,0.3,0.25
Matriz,1.89,1.84,2.06,3.14,5.01,5.25,4.22,3.26,2.91,3.08,3.0,2.76,2.19,1.56,1.2,0.93,1.1
Pinheirinho,3.21,3.31,3.87,4.01,4.57,4.59,4.45,3.81,3.72,3.28,2.69,2.21,1.57,1.09,0.8,0.52,0.45
Portão,2.67,2.61,2.97,3.51,4.26,4.77,4.34,3.42,3.23,3.31,3.09,2.58,1.97,1.36,1.02,0.7,0.68
Santa Felicidade,3.15,3.32,3.75,3.83,3.94,4.36,4.24,4.08,3.88,3.44,2.91,2.31,1.71,1.16,0.79,0.48,0.46
Tatuquara,4.36,4.7,5.67,4.87,4.36,4.64,4.69,4.34,3.64,2.76,2.0,1.31,0.88,0.54,0.33,0.23,0.16
