regiao,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
Bairro Novo,3.63,3.99,4.57,4.7,4.78,4.71,4.5,4.23,3.94,3.39,2.82,2.15,1.44,0.95,0.64,0.39,0.39
Boa Vista,2.86,3.0,3.49,3.69,4.3,4.68,4.53,4.12,4.08,4.02,3.55,2.96,2.31,1.65,1.29,0.89,1.08
Boqueirão,3.16,3.31,3.82,4.05,4.37,4.72,4.59,4.22,3.99,3.79,3.24,2.65,2.09,1.43,1.06,0.72,0.79
Cajuru,3.63,3.99,4.57,4.7,4.78,4.71,4.5,4.23,3.94,3.39,2.82,2.15,1.44,0.95,0.64,0.39,0.39
CIC,3.57,3.68,4.44,4.46,4.72,4.85,4.55,4.16,3.88,3.56,2.98,2.22,1.55,1.07,0.75,0.51,0.47
Matriz,1.92,1.75,2.01,3.28,5.31,5.43,4.53,3.61,3.57,4.09,4.01,3.64,2.98,2.25,1.97,1.69,2.58
Pinheirinho,3.08,3.04,3.7,4.06,4.55,4.9,4.57,4.05,3.99,3.78,3.32,2.55,2.02,1.44,1.13,0.85,0.83
Portão,2.59,2.53,2.95,3.49,4.53,4.94,4.59,3.97,3.84,4.17,3.92,3.31,2.54,1.87,1.52,1.22,1.52
Santa Felicidade,3.06,3.15,3.56,3.71,4.11,4.6,4.76,4.51,4.27,3.9,3.33,2.8,2.12,1.5,1.08,0.8,0.9
Tatuquara,4.37,4.6,5.25,4.94,4.53,4.8,4.77,4.43,3.67,2.96,2.19,1.47,0.95,0.63,0.4,0.26,0.28
